Year,24 and Under WAR/600,25-27 WAR/600 PA,28-30 WAR/600 PA,31-33 WAR/600 PA,34+ WAR/600 PA
1980,1.6,1.9,1.9,2.1,1.4
1981,1.8,2.0,1.8,1.7,2.0
1982,1.6,2.0,1.6,2.0,1.9
1983,1.6,2.2,1.8,1.7,1.8
1984,2.0,2.0,2.1,1.7,1.1
1985,1.6,2.0,2.1,1.7,1.6
1986,1.3,2.1,2.0,2.0,1.5
1987,1.6,2.0,1.9,2.0,1.4
1988,2.1,1.7,1.9,2.3,1.2
1989,1.6,1.8,2.2,1.9,1.4
1990,1.5,2.0,1.9,1.9,1.6
1991,1.5,1.8,2.0,2.0,1.7
1992,1.8,1.9,1.9,1.9,1.5
1993,1.5,1.9,2.0,1.8,1.7
1994,0.9,1.9,2.0,1.6,2.2
1995,1.0,1.8,2.3,1.9,1.4
1996,1.2,1.4,2.1,2.3,1.7
1997,1.4,1.4,2.3,2.1,1.5
1998,1.7,1.5,2.0,2.1,1.7
1999,1.0,2.1,1.7,2.2,1.8
2000,1.1,2.0,2.1,1.7,1.8
2001,1.1,1.9,2.3,1.8,1.6
2002,1.1,1.9,2.0,1.9,1.7
2003,1.4,1.9,1.8,1.8,1.9
2004,1.9,1.7,2.1,1.7,1.6
2005,1.5,2.1,2.2,1.8,1.2
2006,1.8,2.1,2.1,1.7,1.3
2007,2.3,1.8,1.9,1.8,1.1
2008,1.7,1.9,2.2,1.6,1.6
2009,1.9,2.0,2.0,1.5,1.6
2010,1.9,1.8,2.1,2.0,1.3
2011,1.8,2.2,2.4,1.2,1.1
2012,1.5,1.9,2.3,1.8,1.2
2013,1.7,2.1,2.3,1.5,1.0
2014,1.9,1.9,2.1,1.7,1.2
2015,2.3,1.9,2.0,1.5,1.2
2016,2.4,1.8,2.0,1.6,1.3
2017,2.0,2.0,2.1,1.6,0.8
2018,1.9,2.1,2.1,1.1,1.4
2019,2.1,2.0,2.1,1.3,0.9
